"sponsor","website_url","logo_candidate_url","website_confidence","logo_confidence","needs_manual_review","note"
"Herrnhuter Sterne GmbH","https://shop.herrnhuter-sterne.de/","https://shop.herrnhuter-sterne.de/templates/meteor_2.0.3/img/logo-2.png","high","high","false",""
"HI-Tech Gross GmbH Zittau","https://www.hitech-gamer.com/","","high","none","true",""
"Hotel und Ausflugsgaststaette Gondelfahrt Jonsdorf","https://www.hotel-gondelfahrt.de/de/home-2/","https://www.hotel-gondelfahrt.de/wp-content/themes/gofa_v1/library/images/win8-tile-icon.png","high","high","false",""
"Hotel Sonnebergbaude Waltersdorf","https://sonnebergbaude.de/","https://sonnebergbaude.de/wp/wp-content/themes/sbb/images/logo-sonnebergbaude.svg","manual","manual","false",""
"Haeber Aluminiumbau Hainewalde","https://alu-haeber.de/","https://alu-haeber.de/images/layout/favicon.ico?v=2.1","high","low","false",""
"Kaffeeroesterei Waltersdorf","https://www.kaffeeroesterei-zittauergebirge.de/","https://image.jimcdn.com/app/cms/image/transf/none/path/sdf59a6e4c38e1197/image/icae88e6561a17d5d/version/1459501983/image.jpg","manual","manual","false",""
"Kahle Heizung Sanitär GmbH","https://kahle-gmbh.de/","https://kahle-gmbh.de/wp-content/uploads/2023/08/Kahle_Ci_Logo_Favicon.svg","high","low","false",""
"Kanzlei Mengel Schwitzky Hitziger Beckert Zittau","https://kanzlei-zittau.de/","https://kanzlei-zittau.de/wp/wp-content/themes/msh/images/mshb-logo.svg","high","high","false",""
"Kaelte Klima Oberlausitz GmbH Leutersdorf","https://www.kaelte-klima-oberlausitz.de/","https://www.kaelte-klima-oberlausitz.de/fileadmin/introduction/images/logo_klima.png","high","high","false",""
"Lackiererei Steffen Jahn Zittau","https://steffenjahn.com/","https://steffenjahn.com/publish/html/img/steffen-jahn.svg","high","low","false",""
"Mobile Haus Krankenpflege Kroeber GmbH Zittau","https://www.haus-krankenpflege.de/","https://onecdn.io/cdn-cgi/image/width=16,height=16,fit=contain/media/9257ffc2-368a-4eca-8ef1-3b7a1f8c530c/sm","high","low","false",""
"Motorradhaus Goldhammer Zittau","https://gasgas.motorradhaus-goldhammer.de/de","https://images5.1000ps.net/member-dateien/892560_files/goldhammerlogo_2022-04-19.png?maxwidth=400&maxheight=200","high","high","false",""
"Oliver Niegisch Oderwitz","https://firmania.de/oderwitz/niegisch-oliver-4255924","","medium","none","true",""
"Pension Auf der Heide Waltersdorf","https://www.gasthofaufderheide.de/","https://www.gasthofaufderheide.de/images/logo.jpg","manual","manual","false",""
"Physiotherapie Wittwer Leutersdorf","https://www.therapiezentrum-wittwer.de/","https://www.therapiezentrum-wittwer.de/fileadmin/introduction/images/logo-tz-wittwer.png","high","high","false",""
"popken-Folienwerk Inh. Jette Moenkemeier e.K.","https://popken-folienwerk.de/","https://popken-folienwerk.de/images/Logo_Popken.svg","high","high","false",""
"Pro-Carline Lahwalde","https://procarline.de/","https://procarline.de/wp-content/uploads/procarline-25jahre-logo-weiss-2.png","high","high","false",""
"Reifen Russ Grossschoenau","https://reifen-russ.de/","https://reifen-russ.de/sites/default/files/logo_reifenruss.png","high","high","false",""
"Reifen Service Hiltscher GmbH","https://www.hiltscher.com/home/reifen/","https://www.hiltscher.com/wp-content/uploads/2023/11/hiltscher_logo4.jpg","manual","manual","false",""
"Rumpf und Schuppe Zittau","https://www.rumpf-schuppe.de/","https://static.wixstatic.com/media/c058cb_e279d0bde68f443dad8df29ced29398d~mv2.png/v1/crop/x_0,y_75,w_1775,h_331/fill/w_410,h_77,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/c058cb_e279d0bde68f443dad8df29ced29398d~mv2.png","high","high","false",""
"Ruebezahlbaude Waltersdorf","https://www.hotel-im-naturpark.de/de/urlaub-ruebezahlbaude/ruebezahlbaude-im-zittauer-gebirge","https://www.hotel-im-naturpark.de/files/www/responsive/logo.png","manual","manual","false",""
"SIGNMAX Spitzkunnersdorf","https://www.signmax.de/","https://www.signmax.de/wp-content/uploads/2024/02/adminlogo_signmax.svg","manual","manual","false",""
"Sieber Autoteile Grossschoenau","https://sieber-autoteile.de/","https://sieber-autoteile.de/wp-content/uploads/2022/06/CAR_Logo_RGB-300x144.png","high","high","false",""
"Sparkasse Oberlausitz-Niederschlesien","https://www.sparkasse-oberlausitz-niederschlesien.de/de/home.html","https://www.sparkasse-oberlausitz-niederschlesien.de/content/dam/myif/sk-oberlausitz-niederschlesien/work/bilder/nbf-logos/logo_weiss.svg","high","high","false",""
"Steguweit und Schulz Nutzfahrzeugservice GmbH","https://man-zittau.de/","https://man-zittau.de/images/man-logo.png","high","high","false",""
"Suesswaren Heike Zimmermann Zittau","https://www.suesswaren-zittau.de/","https://www.suesswaren-zittau.de/wp-content/uploads/2021/11/Papiertragetasche-22x28-cm-Su%CC%88sswaren-Zimmermann-1-1-1-1.png","high","high","false",""
"Tarrach Schreiber Collegen Zittau","https://tsc-steuerberater.de/","https://tsc-steuerberater.de/wp-content/uploads/2026/07/Logo-Tarrach.svg","manual","manual","false",""
"TDQ GmbH Zittau","https://tqd-werkstoffpruefung.de/","","manual","high","true","Suchtreffer deuten auf TQD Technische Qualitaetssicherung Dreilaendereck GmbH; Sponsor-Schreibweise TDQ bitte pruefen."
"Thieme Montageservice","https://www.montageservice-thieme.de/","https://usercontent.one/wp/www.montageservice-thieme.de/wp-content/uploads/2022/02/logo-transp.png","high","high","false",""
"TREUPART Steuerberatung","http://www.treupart-steuer.de/","http://www.treupart-steuer.de/images/logo_treupart.png","high","high","false",""
"Volksbank Loebau-Zittau","https://www.vb-loebau-zittau.de/startseite.html","https://atruvia.scene7.com/is/image/atruvia/vb%2048%2048","manual","manual","false",""
"Vogt und Lischke Hochbau GmbH Grossschoenau","https://www.hochbau-vogt-lischke.de/","https://www.hochbau-vogt-lischke.de/img/icon/win8-tile-144x144.png","high","high","false",""
"Webber Brennertechnik GmbH","https://www.webber-brennertechnik.com/de/industriebrenner/","https://www.webber-brennertechnik.com/typo3conf/ext/tsbasetemplate/Resources/Public/Icons/deu.png","high","low","false",""
"Werkstaette Berndt Grossschoenau","https://berndt.gmbh/","https://berndt.gmbh/wp/wp-content/themes/berndt/images/logo-berndt-gmbh.svg","manual","manual","false",""
"WWG Grossschoenau","https://www.w-w-g.net/","https://www.w-w-g.net/wp-content/uploads/go-x/u/5216dce8-ba80-4b24-b4c9-e1b1fb4d22b2/w180,h180,rtfit,bgdde1e5,el1,ex1,fpng/image.png?v=1773938852155","manual","manual","false","Wohnbau und Waermeversorgung Grossschoenau GmbH."
"Zimmerei Jens Vogt Saalendorf","https://zimmerei-jens-vogt.de/home","https://zimmerei-jens-vogt.de/_assets/6a12e2770fe25c4801d973677ea1e993/Images/logo-2025.svg","high","high","false",""
"Zimmerei Ronny Vogt Jonsdorf","https://www.zimmerermeister-ronny-vogt.de/","https://www.zimmerermeister-ronny-vogt.de/assets/images/logo-ronny-vogt-neu-96x136.png","high","high","false",""
"Zweiradtechnik Vyhnalek Grosspostwitz","https://shop.bz-motorrad.de/","https://i0.wp.com/shop.bz-motorrad.de/wp-content/uploads/2021/02/Vhy-Logo-yamaharot-1400x256-1.png?fit=1020%2C187&ssl=1","manual","manual","false",""
